,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,neighbourhood_group_le,room_type_le
37671,40883581,Brooklyn,Bedford-Stuyvesant,40.68942,-73.95428,Private room,1,4,0.53,0,1,1
41843,43811211,Manhattan,Chinatown,40.71612,-73.99273,Entire home/apt,2,5,2.05,324,2,0
35217,192365952,Brooklyn,Williamsburg,40.71733,-73.95811,Private room,1,62,5.83,65,1,1
36862,101410003,Manhattan,Midtown,40.76525,-73.98058,Private room,5,2,0.32,26,2,1
7198,27053744,Manhattan,Midtown,40.76186,-73.97324,Entire home/apt,3,1,0.02,0,2,0
29579,1692538,Manhattan,Washington Heights,40.85411,-73.92952,Private room,1,45,2.7,315,2,1
7016,26024433,Manhattan,Gramercy,40.73272,-73.9852,Entire home/apt,3,21,0.4,7,2,0
19865,14315424,Brooklyn,Williamsburg,40.70781,-73.95324,Private room,2,6,0.2,0,1,1
41946,156381151,Manhattan,East Village,40.72467,-73.98836,Private room,2,6,1.7,0,2,1
29977,2616981,Manhattan,Upper East Side,40.76354,-73.96189,Entire home/apt,4,3,0.19,60,2,0
32757,63417081,Manhattan,Harlem,40.82375,-73.94426,Private room,30,1,0.58,310,2,1
16639,75030544,Brooklyn,Bedford-Stuyvesant,40.68155,-73.91435,Private room,12,27,0.73,342,1,1
11067,23296023,Manhattan,East Village,40.72828,-73.98602,Entire home/apt,2,95,2.17,0,2,0
1014,2051075,Brooklyn,Crown Heights,40.67259,-73.95489,Entire home/apt,30,58,0.67,212,1,0
27384,138154835,Bronx,Edenwald,40.89215,-73.83351,Entire home/apt,3,50,3.02,148,0,0
16256,38331104,Manhattan,Gramercy,40.73627,-73.98986,Private room,7,0,,0,2,1
25977,134264127,Brooklyn,Park Slope,40.67454,-73.9841,Entire home/apt,2,77,3.43,243,1,0
48365,1409706,Brooklyn,Fort Greene,40.68739,-73.97792,Private room,6,0,,26,1,1
20291,386795,Brooklyn,Bedford-Stuyvesant,40.68712,-73.91847,Private room,7,0,,0,1,1
17536,81080113,Manhattan,Harlem,40.81893,-73.94118,Private room,1,0,,0,2,1
34519,14898658,Brooklyn,Kensington,40.64205,-73.98049,Private room,1,19,1.69,28,1,1
29761,169226619,Brooklyn,Clinton Hill,40.69083,-73.9655,Private room,2,38,2.38,37,1,1
38822,228250502,Manhattan,Gramercy,40.73567,-73.98403,Shared room,2,9,1.44,62,2,2
23688,5260367,Brooklyn,Boerum Hill,40.68942,-73.98739,Entire home/apt,30,1,0.05,91,1,0
22806,120767920,Queens,Flushing,40.75556,-73.81205,Private room,2,79,3.15,346,3,1
11250,8315176,Brooklyn,South Slope,40.66852,-73.9895,Private room,1,0,,0,1,1
41235,24975940,Manhattan,Greenwich Village,40.73365,-73.99727,Entire home/apt,90,0,,90,2,0
32214,152431497,Manhattan,East Village,40.72787,-73.98844,Private room,3,0,,79,2,1
44270,153371127,Queens,Jackson Heights,40.75023,-73.87772,Shared room,1,4,2.73,355,3,2
40907,124028462,Manhattan,Harlem,40.80515,-73.95651,Private room,30,1,0.26,332,2,1
31883,188051537,Manhattan,Upper West Side,40.80063,-73.96936,Private room,4,2,0.19,197,2,1
8805,35384978,Manhattan,Upper East Side,40.77635,-73.94813,Entire home/apt,2,42,0.86,35,2,0
26874,145543998,Brooklyn,Crown Heights,40.67587,-73.96194,Private room,10,2,0.1,0,1,1
12854,34202667,Brooklyn,Bushwick,40.69084,-73.92075,Private room,3,0,,0,1,1
26791,67226812,Brooklyn,Bedford-Stuyvesant,40.68744,-73.94905,Entire home/apt,1,89,4.43,0,1,0
15578,3089851,Brooklyn,Bedford-Stuyvesant,40.69175,-73.95554,Entire home/apt,7,4,0.12,0,1,0
19772,4110869,Manhattan,Harlem,40.82284,-73.95546,Private room,30,4,0.14,365,2,1
39777,219517861,Manhattan,Murray Hill,40.74737,-73.9742,Entire home/apt,2,4,1.06,99,2,0
24082,120762452,Manhattan,Murray Hill,40.74843,-73.97715,Entire home/apt,30,1,0.06,365,2,0
26458,79105834,Queens,Long Island City,40.7558,-73.93399,Private room,1,62,2.87,279,3,1
38534,163251048,Manhattan,Hell's Kitchen,40.76214,-73.99899,Entire home/apt,30,0,,129,2,0
60,60252,Brooklyn,Williamsburg,40.71185,-73.96204,Private room,2,42,0.38,263,1,1
17162,10641733,Brooklyn,Williamsburg,40.717,-73.96183,Entire home/apt,1,61,1.74,11,1,0
13443,39765154,Manhattan,Upper West Side,40.7986,-73.96168,Entire home/apt,9,0,,0,2,0
47953,21261408,Brooklyn,Clinton Hill,40.68783,-73.96061,Shared room,1,3,3.0,350,1,2
25665,90429772,Manhattan,East Village,40.72727,-73.98801,Private room,2,26,1.14,1,2,1
21866,1420715,Brooklyn,Bushwick,40.6898,-73.91835,Entire home/apt,3,70,2.51,170,1,0
16754,1544804,Queens,Astoria,40.76406,-73.90769,Entire home/apt,1,185,5.28,211,3,0
48339,177067211,Brooklyn,Crown Heights,40.67556,-73.94418,Entire home/apt,15,0,,34,1,0
28462,2738676,Brooklyn,Bedford-Stuyvesant,40.68748,-73.93048,Private room,5,2,0.1,0,1,1
24306,932021,Brooklyn,Clinton Hill,40.68511,-73.96775,Private room,1,2,0.08,0,1,1
18352,88585692,Brooklyn,Bushwick,40.69641,-73.9252,Private room,3,19,0.56,363,1,1
43942,15617182,Manhattan,Greenwich Village,40.72811,-73.99893,Private room,2,4,1.54,146,2,1
2147,4714927,Manhattan,East Harlem,40.79218,-73.95076,Private room,2,57,0.78,251,2,1
9220,36980964,Queens,Long Island City,40.74989,-73.93777,Entire home/apt,2,5,0.1,0,3,0
28395,135530716,Queens,Flushing,40.76355,-73.79461,Private room,2,1,0.05,6,3,1
17488,45543753,Manhattan,Harlem,40.80046,-73.95509,Private room,1,8,0.22,0,2,1
41989,219517861,Manhattan,Financial District,40.70778,-74.01074,Entire home/apt,2,8,2.64,327,2,0
6849,25175433,Queens,Ridgewood,40.69958,-73.90825,Private room,3,0,,0,3,1
39299,22916874,Manhattan,Nolita,40.72182,-73.99567,Entire home/apt,2,28,3.98,0,2,0
34510,12243051,Manhattan,Chelsea,40.7429,-73.99428,Entire home/apt,29,2,0.29,311,2,0
41677,243333842,Manhattan,Nolita,40.72186,-73.99696,Entire home/apt,2,8,1.98,42,2,0
1387,2712353,Brooklyn,Cypress Hills,40.68375,-73.87065,Private room,28,88,1.05,326,1,1
522,915640,Brooklyn,Crown Heights,40.66788,-73.94813,Entire home/apt,4,90,0.94,56,1,0
13560,52031734,Brooklyn,Bedford-Stuyvesant,40.69503,-73.94986,Private room,1,1,0.02,0,1,1
5310,3339701,Queens,Ditmars Steinway,40.77376,-73.91855,Private room,1,207,3.48,311,3,1
42787,219517861,Manhattan,Theater District,40.76147,-73.98589,Entire home/apt,29,2,0.85,354,2,0
25136,34365131,Brooklyn,Downtown Brooklyn,40.69591,-73.98335,Private room,5,1,0.04,0,1,1
14909,45526701,Brooklyn,Crown Heights,40.67237,-73.95172,Entire home/apt,2,22,1.68,92,1,0
17702,63097027,Queens,Jackson Heights,40.75145,-73.88946,Entire home/apt,3,4,0.12,0,3,0
35732,31770868,Manhattan,Theater District,40.75928,-73.98634,Private room,2,46,4.66,38,2,1
19332,7157161,Brooklyn,Williamsburg,40.71274,-73.94521,Private room,1,2,0.06,341,1,1
12840,50467679,Brooklyn,Crown Heights,40.67176,-73.93387,Private room,3,3,0.1,0,1,1
37034,977716,Brooklyn,Carroll Gardens,40.67861,-73.99469,Entire home/apt,2,2,0.24,0,1,0
11384,46323110,Brooklyn,Bushwick,40.69639,-73.91008,Private room,5,76,1.74,68,1,1
15154,64052858,Manhattan,Midtown,40.7442,-73.98748,Entire home/apt,2,54,1.49,58,2,0
26706,6958919,Manhattan,Morningside Heights,40.81373,-73.96013,Private room,1,0,,0,2,1
3817,11747009,Manhattan,Theater District,40.76096,-73.98646,Entire home/apt,2,1,0.02,0,2,0
38482,36535955,Brooklyn,Bedford-Stuyvesant,40.68243,-73.95697,Entire home/apt,2,2,0.31,0,1,0
22085,116746802,Queens,Bayside,40.75136,-73.75269,Private room,7,30,1.1,169,3,1
42967,43330303,Bronx,Fordham,40.85394,-73.89641,Private room,5,3,1.2,62,0,1
31582,52395622,Manhattan,Upper East Side,40.77942,-73.94772,Entire home/apt,1,16,1.1,0,2,0
27714,158554204,Brooklyn,Bedford-Stuyvesant,40.67917,-73.93103,Entire home/apt,1,7,0.42,303,1,0
32247,78705600,Brooklyn,Greenpoint,40.73507,-73.95229,Entire home/apt,7,0,,31,1,0
39499,211549023,Manhattan,Midtown,40.74841,-73.98768,Entire home/apt,2,15,2.47,286,2,0
20450,9367785,Brooklyn,Greenpoint,40.725,-73.94633,Private room,1,10,0.32,0,1,1
48315,11386608,Brooklyn,Bedford-Stuyvesant,40.69265,-73.93201,Private room,9,0,,179,1,1
18284,8338942,Manhattan,Nolita,40.72245,-73.99416,Shared room,1,10,0.28,14,2,2
24182,76785138,Brooklyn,Bay Ridge,40.62298,-74.02601,Entire home/apt,2,61,2.52,166,1,0
39389,5170481,Brooklyn,Clinton Hill,40.68521,-73.96716,Entire home/apt,3,5,2.59,50,1,0
6453,11708876,Brooklyn,Williamsburg,40.7114,-73.96293,Private room,1,0,,0,1,1
13485,7375144,Brooklyn,Bushwick,40.70348,-73.91477,Private room,1,0,,0,1,1
5408,12348871,Brooklyn,Kensington,40.64487,-73.97895,Private room,1,74,1.26,21,1,1
43217,29952888,Manhattan,SoHo,40.72029,-74.00033,Private room,30,0,,50,2,1
43241,105270072,Brooklyn,Sheepshead Bay,40.59516,-73.96208,Entire home/apt,1,0,,0,1,0
48112,269235140,Manhattan,Hell's Kitchen,40.76437,-73.99044,Entire home/apt,1,0,,32,2,0
514,279078,Brooklyn,Bedford-Stuyvesant,40.69242,-73.95097,Entire home/apt,2,187,1.97,287,1,0
7066,17312709,Brooklyn,Bedford-Stuyvesant,40.6926,-73.94719,Entire home/apt,5,4,0.08,0,1,0
8618,25599307,Brooklyn,Flatbush,40.63915,-73.95451,Entire home/apt,6,33,0.69,0,1,0
32264,1497427,Manhattan,Upper East Side,40.77416,-73.9501,Entire home/apt,3,12,1.03,105,2,0
42015,10113653,Brooklyn,Bushwick,40.69504,-73.9264,Private room,2,5,1.55,9,1,1
983,1970839,Manhattan,Flatiron District,40.74125,-73.98862,Entire home/apt,7,0,,0,2,0
5060,12306481,Queens,Sunnyside,40.74493,-73.91528,Entire home/apt,30,10,0.28,332,3,0
29144,163626113,Manhattan,Midtown,40.75349,-73.96545,Private room,2,107,5.73,49,2,1
10070,23420949,Brooklyn,Bedford-Stuyvesant,40.69451,-73.94419,Entire home/apt,1,2,0.04,0,1,0
25934,148278552,Brooklyn,Greenpoint,40.73365,-73.95354,Private room,2,0,,0,1,1
12426,16417917,Manhattan,Morningside Heights,40.80774,-73.95703,Private room,2,17,0.39,0,2,1
22676,3404698,Manhattan,Upper West Side,40.78693,-73.97558,Entire home/apt,30,1,0.04,188,2,0
23615,81745867,Manhattan,Washington Heights,40.84917,-73.94048,Private room,2,2,0.16,0,2,1
38107,187567357,Manhattan,East Harlem,40.7947,-73.94115,Entire home/apt,1,0,,0,2,0
17528,819636,Brooklyn,Prospect Heights,40.67575,-73.96546,Private room,1,5,0.14,0,1,1
