,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,neighbourhood_group_le,room_type_le
10273,8554194,Manhattan,Chelsea,40.74453,-73.99988,Entire home/apt,3,39,0.84,1,2,0
34583,14812962,Brooklyn,Crown Heights,40.67321,-73.95386,Entire home/apt,5,3,0.28,0,1,0
25654,146675319,Bronx,Mount Hope,40.85031,-73.90102,Entire home/apt,1,23,1.02,6,0,0
5662,20543178,Brooklyn,Bedford-Stuyvesant,40.67879,-73.93653,Entire home/apt,2,191,3.27,311,1,0
13512,49871658,Manhattan,Upper West Side,40.78778,-73.97498,Entire home/apt,3,0,,0,2,0
14287,10199059,Brooklyn,Bushwick,40.69712,-73.93055,Private room,1,0,,0,1,1
28281,2928002,Manhattan,Upper West Side,40.79917,-73.96795,Private room,4,2,0.11,0,2,1
2919,6194487,Queens,Astoria,40.76359,-73.90586,Private room,1,274,4.02,308,3,1
13939,15105293,Brooklyn,Williamsburg,40.70777,-73.9435,Entire home/apt,6,0,,0,1,0
7948,4562182,Manhattan,Harlem,40.81128,-73.94647,Entire home/apt,30,104,2.07,249,2,0
34410,205530337,Queens,Ridgewood,40.70175,-73.90552,Private room,30,0,,340,3,1
403,85330,Queens,Forest Hills,40.70925,-73.85262,Entire home/apt,3,28,1.21,209,3,0
16715,185394,Brooklyn,Williamsburg,40.70478,-73.9435,Private room,1,2,0.05,0,1,1
48853,274103383,Manhattan,West Village,40.73444,-74.00335,Private room,2,0,,84,2,1
19681,101976032,Manhattan,Chelsea,40.74407,-73.99366,Entire home/apt,4,69,2.13,280,2,0
10009,1784925,Manhattan,Upper West Side,40.791,-73.96809,Entire home/apt,3,10,0.21,0,2,0
16712,15318852,Manhattan,Lower East Side,40.71775,-73.98612,Private room,2,22,0.59,365,2,1
21009,48866061,Queens,Rego Park,40.72755,-73.86199,Private room,1,131,4.33,294,3,1
36362,216772639,Brooklyn,Borough Park,40.63371,-74.00717,Private room,1,9,0.98,180,1,1
10454,1883133,Manhattan,Washington Heights,40.84269,-73.93605,Entire home/apt,1,133,2.85,267,2,0
30129,20725025,Manhattan,Upper East Side,40.77506,-73.95335,Shared room,1,1,0.06,170,2,2
13261,51348096,Brooklyn,Flatbush,40.65134,-73.958,Private room,1,0,,0,1,1
34262,9598256,Brooklyn,Prospect Heights,40.67329,-73.96627,Entire home/apt,5,6,0.55,28,1,0
26634,50383289,Brooklyn,Greenpoint,40.724,-73.95202,Entire home/apt,1,18,0.87,0,1,0
20230,13325936,Manhattan,East Harlem,40.79275,-73.94191,Private room,5,1,0.03,0,2,1
7779,30656279,Manhattan,Hell's Kitchen,40.76799,-73.98644,Private room,12,31,0.6,102,2,1
18732,9390190,Manhattan,SoHo,40.72364,-73.99923,Shared room,1,51,1.48,82,2,2
26744,128895953,Brooklyn,Midwood,40.61193,-73.96259,Private room,3,3,0.16,364,1,1
35579,3768359,Manhattan,Lower East Side,40.72177,-73.98898,Entire home/apt,3,7,0.71,12,2,0
45795,71630660,Manhattan,Upper East Side,40.77086,-73.95131,Entire home/apt,3,0,,273,2,0
26264,733286,Manhattan,East Village,40.72232,-73.98055,Entire home/apt,14,1,0.05,0,2,0
43377,42222090,Manhattan,Upper West Side,40.77029,-73.98761,Private room,3,5,2.08,158,2,1
7754,9235481,Manhattan,Washington Heights,40.8538,-73.93197,Shared room,2,2,0.04,0,2,2
39505,95915902,Brooklyn,Bedford-Stuyvesant,40.68883,-73.9525,Entire home/apt,2,5,0.75,0,1,0
41515,137358866,Queens,Woodside,40.74609,-73.90632,Private room,30,0,,230,3,1
28893,25769776,Brooklyn,Prospect-Lefferts Gardens,40.65616,-73.95676,Entire home/apt,2,4,0.21,0,1,0
9289,22625462,Manhattan,Midtown,40.75788,-73.9689,Entire home/apt,2,14,0.3,0,2,0
25768,5291405,Brooklyn,Clinton Hill,40.68153,-73.9605,Private room,2,5,0.22,0,1,1
47554,243288727,Manhattan,Hell's Kitchen,40.76285,-73.98653,Entire home/apt,30,0,,310,2,0
41679,18562674,Manhattan,Harlem,40.8276,-73.94457,Private room,1,4,0.85,365,2,1
35242,13208084,Brooklyn,Crown Heights,40.67818,-73.94709,Private room,7,1,0.1,143,1,1
9524,18605510,Brooklyn,Bedford-Stuyvesant,40.68555,-73.94873,Private room,1,0,,0,1,1
37225,222659001,Brooklyn,Bedford-Stuyvesant,40.6781,-73.91163,Private room,2,26,3.59,192,1,1
17079,22541573,Manhattan,Hell's Kitchen,40.76294,-73.98574,Entire home/apt,30,1,0.09,329,2,0
19125,46576732,Manhattan,Washington Heights,40.85842,-73.92928,Private room,1,7,0.21,0,2,1
20303,86509759,Manhattan,East Harlem,40.80802,-73.94013,Private room,3,30,0.98,90,2,1
30992,175019394,Queens,Jamaica,40.67048,-73.77832,Private room,1,138,8.87,177,3,1
23377,32613511,Manhattan,Midtown,40.74384,-73.98243,Shared room,1,1,0.04,0,2,2
2151,5454862,Manhattan,Harlem,40.8278,-73.94891,Entire home/apt,3,185,2.46,6,2,0
4772,3463555,Manhattan,Washington Heights,40.85304,-73.93555,Entire home/apt,2,0,,0,2,0
22836,128307950,Manhattan,East Village,40.72588,-73.98827,Entire home/apt,2,0,,0,2,0
5664,6885530,Brooklyn,Cobble Hill,40.6883,-73.99132,Entire home/apt,2,2,0.03,0,1,0
43039,224317184,Manhattan,Inwood,40.86256,-73.92887,Private room,3,1,0.6,258,2,1
6911,25494876,Manhattan,Lower East Side,40.71959,-73.9919,Entire home/apt,2,14,0.28,0,2,0
48105,150518920,Manhattan,Murray Hill,40.74666,-73.97358,Entire home/apt,1,0,,192,2,0
42660,38604449,Queens,Woodside,40.75563,-73.90493,Private room,2,1,0.51,262,3,1
25190,4609956,Brooklyn,Bedford-Stuyvesant,40.68305,-73.95753,Private room,2,55,2.42,110,1,1
5160,5573250,Brooklyn,Kensington,40.6413,-73.98233,Private room,1,2,0.03,0,1,1
26590,152702239,Manhattan,Upper East Side,40.77669,-73.94822,Private room,3,5,0.24,0,2,1
4031,9426702,Manhattan,Battery Park City,40.70657,-74.01676,Private room,2,26,0.44,0,2,1
102,63318,Manhattan,Washington Heights,40.83927,-73.94281,Private room,2,68,0.6,312,2,1
2016,1758019,Manhattan,West Village,40.73084,-74.00431,Entire home/apt,3,9,0.12,0,2,0
42981,12220,Manhattan,Upper West Side,40.77859,-73.98481,Private room,1,3,0.96,341,2,1
27268,133004690,Brooklyn,Bedford-Stuyvesant,40.68709,-73.94147,Entire home/apt,2,70,3.52,248,1,0
39659,25573498,Manhattan,Morningside Heights,40.80511,-73.96572,Entire home/apt,5,4,0.59,0,2,0
22839,21680683,Brooklyn,Williamsburg,40.7199,-73.95828,Private room,1,5,0.2,111,1,1
24149,28626337,Manhattan,Chelsea,40.73958,-74.00171,Private room,3,2,0.08,0,2,1
12900,50591230,Brooklyn,Bushwick,40.69557,-73.9315,Private room,1,0,,0,1,1
41514,128810972,Brooklyn,Williamsburg,40.71356,-73.96751,Entire home/apt,2,5,1.05,26,1,0
39207,229325672,Manhattan,Upper West Side,40.77648,-73.97895,Entire home/apt,3,11,1.71,13,2,0
38005,3297399,Brooklyn,East Flatbush,40.64391,-73.94833,Entire home/apt,1,6,0.8,0,1,0
8744,35149173,Manhattan,Midtown,40.75549,-73.97149,Entire home/apt,2,2,0.04,364,2,0
48098,3567433,Brooklyn,Bushwick,40.69069,-73.90836,Private room,3,0,,23,1,1
4311,9638204,Manhattan,Harlem,40.82149,-73.93718,Private room,1,3,0.33,126,2,1
7396,28468845,Brooklyn,Bushwick,40.69024,-73.9059,Private room,7,1,0.02,179,1,1
6476,24344136,Queens,Astoria,40.76888,-73.90807,Private room,5,0,,0,3,1
41863,159587137,Brooklyn,Clinton Hill,40.68995,-73.9675,Entire home/apt,3,0,,159,1,0
48843,53966115,Brooklyn,Bedford-Stuyvesant,40.69635,-73.93743,Private room,29,0,,341,1,1
48494,17211451,Brooklyn,Clinton Hill,40.68316,-73.96289,Entire home/apt,30,0,,39,1,0
19752,9439324,Brooklyn,Bushwick,40.68844,-73.90531,Private room,1,74,2.42,53,1,1
2610,2712353,Brooklyn,Cypress Hills,40.68822,-73.8759,Private room,28,91,1.25,325,1,1
19574,1475015,Manhattan,Midtown,40.75105,-73.97045,Entire home/apt,30,0,,297,2,0
13818,24796157,Brooklyn,Fort Greene,40.68797,-73.97288,Entire home/apt,5,16,0.46,129,1,0
5782,15243531,Brooklyn,Williamsburg,40.71722,-73.95862,Entire home/apt,2,4,0.07,0,1,0
11692,47457325,Manhattan,Harlem,40.8239,-73.95393,Entire home/apt,3,1,0.02,0,2,0
34835,205745676,Queens,Flushing,40.7594,-73.81971,Private room,1,21,1.9,362,3,1
17578,81453500,Manhattan,Upper West Side,40.80079,-73.96619,Private room,4,2,0.05,53,2,1
18843,94087334,Manhattan,Upper West Side,40.77718,-73.98023,Private room,1,20,0.59,81,2,1
8724,35070587,Brooklyn,Sunset Park,40.65972,-73.9937,Private room,7,0,,0,1,1
42064,244559229,Manhattan,Chelsea,40.74921,-73.99273,Private room,1,9,3.42,275,2,1
47202,51985960,Brooklyn,Williamsburg,40.70748,-73.92835,Private room,3,0,,34,1,1
13696,9346894,Brooklyn,Cypress Hills,40.68281,-73.89509,Entire home/apt,1,119,2.81,361,1,0
1798,4249297,Brooklyn,Williamsburg,40.70876,-73.94971,Private room,5,5,0.21,198,1,1
13689,52793525,Queens,Far Rockaway,40.59607,-73.75911,Entire home/apt,6,9,0.22,0,3,0
19922,101491116,Brooklyn,Cypress Hills,40.68313,-73.87077,Shared room,2,76,2.4,120,1,2
42231,1786901,Manhattan,Upper East Side,40.78365,-73.94723,Private room,3,8,2.4,50,2,1
10410,20233558,Brooklyn,Greenpoint,40.73175,-73.95403,Entire home/apt,2,5,0.11,0,1,0
44462,106627,Manhattan,Tribeca,40.71734,-74.00858,Entire home/apt,7,0,,22,2,0
31521,62100691,Manhattan,East Harlem,40.78572,-73.95018,Entire home/apt,5,11,0.77,8,2,0
27902,140433148,Brooklyn,Bushwick,40.69634,-73.91323,Shared room,3,32,1.86,104,1,2
48533,28586423,Staten Island,Stapleton,40.62878,-74.07301,Entire home/apt,5,0,,88,4,0
5608,21149129,Brooklyn,Bedford-Stuyvesant,40.69013,-73.92805,Entire home/apt,1,167,2.86,250,1,0
4877,4320908,Manhattan,Nolita,40.72044,-73.99645,Entire home/apt,7,0,,0,2,0
41658,141508996,Manhattan,East Village,40.72498,-73.97604,Private room,1,6,1.49,160,2,1
41595,6635392,Brooklyn,Bedford-Stuyvesant,40.68597,-73.93873,Entire home/apt,5,4,1.2,0,1,0
15279,30529247,Brooklyn,Fort Greene,40.69706,-73.97422,Private room,4,15,0.38,0,1,1
26597,50388251,Manhattan,Upper West Side,40.80015,-73.96159,Private room,2,0,,0,2,1
39115,1725141,Manhattan,NoHo,40.72696,-73.99501,Entire home/apt,15,1,0.91,15,2,0
30840,12243051,Manhattan,Financial District,40.70831,-74.00619,Entire home/apt,29,2,0.21,259,2,0
23334,31314659,Manhattan,East Harlem,40.79439,-73.94129,Private room,7,0,,0,2,1
34821,156586664,Queens,Flushing,40.75389,-73.83192,Private room,1,65,6.11,139,3,1
24283,137382776,Brooklyn,Prospect Heights,40.68066,-73.97299,Private room,3,0,,83,1,1
8011,9773128,Brooklyn,Park Slope,40.66798,-73.9761,Entire home/apt,30,0,,156,1,0
44471,250207981,Manhattan,Upper West Side,40.80378,-73.96619,Private room,14,1,0.42,15,2,1
45328,250825715,Manhattan,Chinatown,40.7176,-73.99728,Private room,1,3,2.73,55,2,1
15836,16098958,Manhattan,Upper East Side,40.77725,-73.95137,Entire home/apt,30,3,0.08,330,2,0
34690,50909051,Queens,Bayside,40.76731,-73.76288,Entire home/apt,1,6,0.53,179,3,0
37576,47721954,Manhattan,Upper East Side,40.77695,-73.95519,Shared room,1,0,,90,2,2
7587,15897880,Queens,Ridgewood,40.70066,-73.90964,Private room,1,0,,0,3,1
5126,4765290,Brooklyn,Bedford-Stuyvesant,40.68769,-73.95333,Private room,2,3,0.06,0,1,1
1581,3711499,Brooklyn,Crown Heights,40.67473,-73.96263,Entire home/apt,3,12,0.18,15,1,0
6742,24895956,Manhattan,East Harlem,40.78712,-73.95365,Private room,1,39,0.91,189,2,1
9500,13976139,Manhattan,Upper West Side,40.7905,-73.97385,Entire home/apt,10,0,,0,2,0
40610,18007776,Brooklyn,Prospect-Lefferts Gardens,40.65621,-73.9562,Private room,3,5,1.03,0,1,1
43586,144863350,Manhattan,Harlem,40.81482,-73.95192,Private room,1,12,4.34,0,2,1
24788,140889033,Queens,Rego Park,40.72318,-73.85621,Entire home/apt,14,1,0.22,7,3,0
16059,22541573,Manhattan,Upper East Side,40.77301,-73.95045,Entire home/apt,30,1,0.13,347,2,0
294,338454,Manhattan,Harlem,40.82976,-73.94867,Private room,30,64,0.68,318,2,1
3434,9563358,Manhattan,Midtown,40.75184,-73.97199,Entire home/apt,7,3,0.09,4,2,0
23528,7980049,Manhattan,Upper West Side,40.7951,-73.96675,Entire home/apt,2,8,0.33,0,2,0
41150,5339839,Brooklyn,Bedford-Stuyvesant,40.68357,-73.95449,Entire home/apt,7,0,,0,1,0
35274,137358866,Queens,Sunnyside,40.73919,-73.92004,Private room,30,2,0.21,233,3,1
14008,41474488,Manhattan,Greenwich Village,40.7276,-74.00075,Entire home/apt,2,47,1.14,205,2,0
18409,34226735,Brooklyn,Williamsburg,40.71354,-73.95095,Private room,2,28,0.82,0,1,1
35248,152129733,Manhattan,Hell's Kitchen,40.76261,-73.99143,Entire home/apt,3,1,1.0,90,2,0
33164,31230100,Brooklyn,Crown Heights,40.67304,-73.95615,Private room,7,3,0.29,161,1,1
36058,3606458,Manhattan,Upper West Side,40.79517,-73.97392,Entire home/apt,1,0,,358,2,0
24610,16534981,Brooklyn,Bedford-Stuyvesant,40.68141,-73.93301,Entire home/apt,14,10,0.43,286,1,0
38544,171452798,Manhattan,Upper East Side,40.77655,-73.94787,Entire home/apt,1,49,6.87,296,2,0
25954,141052003,Queens,Jamaica,40.68503,-73.77983,Entire home/apt,2,45,2.01,153,3,0
2713,7837136,Manhattan,Hell's Kitchen,40.76582,-73.99468,Entire home/apt,2,23,0.32,365,2,0
1556,3621183,Queens,Woodside,40.74723,-73.89706,Entire home/apt,3,60,1.59,281,3,0
7996,7573842,Manhattan,West Village,40.73405,-74.00283,Entire home/apt,3,1,0.03,0,2,0
5056,10262649,Brooklyn,Bushwick,40.68779,-73.90521,Entire home/apt,2,41,0.69,0,1,0
13649,52573647,Queens,Rosedale,40.65108,-73.73402,Private room,2,9,0.23,87,3,1
1146,619154,Brooklyn,Sunset Park,40.66158,-73.98954,Entire home/apt,2,58,0.67,0,1,0
16857,9617573,Manhattan,East Harlem,40.79751,-73.93271,Entire home/apt,3,0,,0,2,0
30809,27703207,Brooklyn,Prospect-Lefferts Gardens,40.65844,-73.94832,Entire home/apt,5,3,0.19,0,1,0
47240,40971988,Manhattan,Upper East Side,40.76954,-73.94959,Private room,1,4,4.0,9,2,1
28752,13773574,Manhattan,Midtown,40.76512,-73.98201,Entire home/apt,30,0,,344,2,0
26302,49664910,Brooklyn,Clinton Hill,40.69027,-73.96796,Entire home/apt,2,17,0.8,0,1,0
48152,93723961,Queens,Astoria,40.76769,-73.91994,Entire home/apt,2,0,,94,3,0
40513,23862648,Manhattan,East Village,40.73065,-73.98523,Entire home/apt,2,18,3.88,5,2,0
38260,226587084,Manhattan,Financial District,40.70816,-74.0084,Entire home/apt,30,13,4.29,305,2,0
28966,4162008,Brooklyn,Bushwick,40.69914,-73.93394,Private room,1,1,0.05,0,1,1
20130,1628075,Brooklyn,Fort Greene,40.69015,-73.97264,Entire home/apt,31,33,1.2,281,1,0
37862,70431576,Brooklyn,Bedford-Stuyvesant,40.68515,-73.93255,Entire home/apt,2,7,0.92,6,1,0
2912,2119276,Manhattan,Hell's Kitchen,40.76703,-73.98874,Entire home/apt,30,17,0.35,333,2,0
43246,252678417,Brooklyn,Bedford-Stuyvesant,40.69655,-73.93458,Private room,1,18,6.0,0,1,1
7290,1290741,Brooklyn,Williamsburg,40.71539,-73.95426,Private room,4,2,0.04,0,1,1
36334,191085997,Bronx,Pelham Bay,40.85413,-73.83065,Entire home/apt,2,7,0.99,301,0,0
41649,243129380,Brooklyn,Bushwick,40.68772,-73.90808,Private room,2,15,3.33,111,1,1
40628,15185649,Brooklyn,Bedford-Stuyvesant,40.683,-73.92346,Entire home/apt,7,0,,5,1,0
479,720558,Brooklyn,South Slope,40.66085,-73.98537,Entire home/apt,28,101,1.06,167,1,0
33681,7620548,Queens,Ridgewood,40.69212,-73.90188,Entire home/apt,7,0,,10,3,0
25249,7097558,Queens,South Ozone Park,40.66941,-73.79148,Entire home/apt,1,310,13.27,23,3,0
38040,78251,Brooklyn,Brooklyn Heights,40.70099,-73.99532,Entire home/apt,31,0,,310,1,0
48835,271029539,Manhattan,Harlem,40.82258,-73.95464,Private room,1,0,,80,2,1
10785,3038856,Brooklyn,Williamsburg,40.7124,-73.96259,Entire home/apt,1,10,0.23,0,1,0
48081,15057355,Manhattan,Two Bridges,40.71155,-73.99712,Private room,3,0,,62,2,1
10772,43691297,Brooklyn,Greenpoint,40.72788,-73.95408,Entire home/apt,4,26,0.57,0,1,0
17820,14911571,Manhattan,Greenwich Village,40.72738,-74.00018,Private room,1,161,4.43,125,2,1
5892,19841476,Manhattan,East Harlem,40.80161,-73.94277,Private room,1,7,0.2,0,2,1
45282,261412334,Brooklyn,Canarsie,40.62886,-73.89225,Entire home/apt,1,2,2.0,154,1,0
20351,65811347,Manhattan,West Village,40.73613,-74.00711,Entire home/apt,28,2,0.08,365,2,0
40991,5704932,Bronx,Fordham,40.86566,-73.88748,Private room,2,6,1.18,77,0,1
45189,107434423,Manhattan,Upper West Side,40.7816,-73.97548,Entire home/apt,30,0,,334,2,0
26985,120574445,Brooklyn,Boerum Hill,40.68497,-73.97986,Entire home/apt,3,45,2.29,3,1,0
23699,1728792,Manhattan,Washington Heights,40.84437,-73.94328,Private room,3,2,0.53,173,2,1
19904,3142220,Manhattan,Kips Bay,40.74114,-73.97657,Entire home/apt,2,22,0.81,11,2,0
21100,64471880,Manhattan,Harlem,40.80172,-73.95538,Private room,1,226,7.75,32,2,1
19731,58390804,Brooklyn,Flatbush,40.6459,-73.9642,Entire home/apt,3,64,2.07,277,1,0
28336,70338191,Manhattan,Washington Heights,40.85677,-73.92986,Private room,2,50,2.69,3,2,1
22921,9285643,Brooklyn,Williamsburg,40.71988,-73.96294,Entire home/apt,5,0,,0,1,0
27088,122374980,Manhattan,Upper West Side,40.78428,-73.97665,Shared room,1,90,4.35,77,2,2
9315,37166807,Brooklyn,Sunset Park,40.65702,-73.99874,Private room,7,37,0.78,0,1,1
22127,1495021,Queens,Sunnyside,40.7381,-73.91893,Private room,31,0,,95,3,1
29857,22042097,Queens,Woodhaven,40.69665,-73.85114,Entire home/apt,4,1,0.06,0,3,0
31273,29110009,Brooklyn,Gowanus,40.66889,-73.99115,Private room,1,3,0.22,221,1,1
43355,69720852,Manhattan,SoHo,40.7204,-74.00027,Private room,3,1,0.34,86,2,1
39762,726197,Manhattan,East Village,40.7243,-73.98255,Entire home/apt,15,0,,332,2,0
15463,14136274,Manhattan,SoHo,40.7244,-74.00681,Entire home/apt,2,0,,0,2,0
38926,200239515,Queens,Woodside,40.74652,-73.89154,Private room,28,0,,0,3,1
30554,52549310,Queens,Ditmars Steinway,40.77462,-73.91021,Private room,2,6,0.38,0,3,1
45306,38483415,Manhattan,East Harlem,40.79952,-73.94592,Shared room,1,0,,365,2,2
12663,16164068,Brooklyn,Bedford-Stuyvesant,40.68,-73.95526,Private room,3,5,0.13,0,1,1
3951,12579916,Brooklyn,Park Slope,40.68091,-73.9766,Entire home/apt,2,1,0.02,0,1,0
1538,3576466,Manhattan,Hell's Kitchen,40.76422,-73.99382,Private room,2,176,2.22,23,2,1
45256,8033432,Manhattan,Hell's Kitchen,40.75893,-73.99,Entire home/apt,3,0,,0,2,0
28880,42427554,Brooklyn,Bushwick,40.69728,-73.91387,Private room,5,0,,0,1,1
25207,50740281,Manhattan,Chelsea,40.73686,-73.99349,Entire home/apt,5,0,,0,2,0
9638,10832128,Brooklyn,Sunset Park,40.644,-74.01092,Private room,3,2,0.04,0,1,1
15869,1216362,Brooklyn,Flatbush,40.65424,-73.96008,Private room,1,43,1.37,188,1,1
48244,271901058,Brooklyn,Bedford-Stuyvesant,40.68795,-73.9374,Private room,1,1,1.0,335,1,1
24775,10677720,Manhattan,Lower East Side,40.7177,-73.98245,Private room,5,20,0.84,0,2,1
21706,30054890,Brooklyn,Williamsburg,40.70818,-73.94952,Private room,2,4,0.14,0,1,1
2975,1818792,Brooklyn,Greenpoint,40.72716,-73.94971,Entire home/apt,2,25,0.44,5,1,0
54,56284,Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,7,19,0.22,257,2,0
12622,50068597,Staten Island,Stapleton,40.63573,-74.0772,Private room,2,112,2.6,316,4,1
43697,225055374,Manhattan,Upper East Side,40.77019,-73.95449,Shared room,30,0,,331,2,2
42113,199075581,Queens,Jamaica,40.67193,-73.77986,Entire home/apt,1,23,8.52,121,3,0
40926,236148005,Manhattan,Flatiron District,40.74158,-73.98593,Entire home/apt,2,8,1.95,34,2,0
14054,22774265,Manhattan,Roosevelt Island,40.76189,-73.94934,Private room,3,51,1.28,40,2,1
48145,212865,Brooklyn,Williamsburg,40.72045,-73.96313,Entire home/apt,90,0,,91,1,0
10463,38857566,Manhattan,Chelsea,40.74042,-73.99714,Private room,1,2,0.04,0,2,1
12334,19733878,Brooklyn,Williamsburg,40.71018,-73.95488,Entire home/apt,3,4,0.11,0,1,0
20599,6153409,Brooklyn,Bedford-Stuyvesant,40.68635,-73.95535,Private room,15,3,0.1,0,1,1
41590,242758145,Brooklyn,Prospect-Lefferts Gardens,40.65447,-73.9616,Private room,2,6,1.26,144,1,1
5572,2037149,Brooklyn,Windsor Terrace,40.6501,-73.97985,Entire home/apt,4,143,2.62,254,1,0
42116,74116175,Queens,Long Island City,40.74547,-73.95198,Entire home/apt,2,7,2.26,40,3,0
12856,5474579,Manhattan,East Harlem,40.79617,-73.93452,Entire home/apt,1,0,,0,2,0
8025,8389213,Brooklyn,Williamsburg,40.70778,-73.94953,Entire home/apt,4,7,0.14,0,1,0
8888,35637698,Manhattan,Kips Bay,40.74362,-73.98058,Entire home/apt,6,4,0.08,0,2,0
23062,129794391,Manhattan,East Village,40.72349,-73.9841,Entire home/apt,3,2,0.08,0,2,0
3407,3886532,Brooklyn,Bushwick,40.70781,-73.92184,Private room,1,89,1.39,310,1,1
40869,78326799,Brooklyn,Gowanus,40.68289,-73.9878,Private room,1,2,0.63,0,1,1
31206,157967816,Brooklyn,Greenpoint,40.72129,-73.94329,Entire home/apt,2,49,3.52,233,1,0
32679,158399244,Brooklyn,Crown Heights,40.67221,-73.93937,Entire home/apt,1,39,3.01,150,1,0
9716,3700637,Brooklyn,Williamsburg,40.71332,-73.95291,Entire home/apt,3,1,0.02,0,1,0
40486,36012265,Brooklyn,Williamsburg,40.70471,-73.92957,Entire home/apt,30,0,,126,1,0
25179,21060836,Manhattan,Midtown,40.7534,-73.97186,Entire home/apt,3,0,,0,2,0
39288,912324,Manhattan,West Village,40.73704,-74.00501,Entire home/apt,3,5,0.8,18,2,0
42614,4221836,Manhattan,Lower East Side,40.71887,-73.99256,Private room,5,7,2.28,118,2,1
43273,199833548,Queens,Jamaica,40.70585,-73.80867,Private room,1,13,4.53,358,3,1
17077,21130844,Brooklyn,Williamsburg,40.7154,-73.95469,Private room,2,7,0.21,0,1,1
34906,115154494,Brooklyn,Williamsburg,40.71727,-73.94821,Entire home/apt,3,6,0.61,0,1,0
2069,51038,Brooklyn,Clinton Hill,40.68618,-73.96603,Private room,2,38,0.5,158,1,1
6615,24636847,Queens,Woodhaven,40.69634,-73.8563,Private room,3,3,0.23,0,3,1
984,1981742,Manhattan,Harlem,40.83091,-73.94223,Entire home/apt,5,38,0.44,253,2,0
4198,14011859,Brooklyn,Carroll Gardens,40.68322,-73.99248,Entire home/apt,5,6,0.12,0,1,0
46086,90112329,Brooklyn,Downtown Brooklyn,40.69791,-73.98381,Entire home/apt,4,1,1.0,23,1,0
9296,37191710,Manhattan,East Village,40.72474,-73.98273,Private room,1,1,0.02,0,2,1
4170,13830544,Brooklyn,Bushwick,40.69574,-73.93111,Entire home/apt,5,32,0.66,38,1,0
8109,8095903,Manhattan,Harlem,40.82903,-73.94123,Entire home/apt,1,2,0.04,0,2,0
2062,4973668,Brooklyn,Bedford-Stuyvesant,40.687,-73.93446,Shared room,5,91,1.18,248,1,2
27047,155031529,Queens,Long Island City,40.74726,-73.94304,Entire home/apt,20,2,0.1,0,3,0
34114,17477908,Manhattan,Upper West Side,40.79473,-73.96744,Entire home/apt,30,2,0.19,365,2,0
34375,189646908,Brooklyn,Williamsburg,40.70757,-73.94466,Private room,2,23,2.18,365,1,1
17510,978029,Brooklyn,Bedford-Stuyvesant,40.68746,-73.95811,Entire home/apt,5,0,,0,1,0
19696,5450219,Brooklyn,Boerum Hill,40.68501,-73.98581,Entire home/apt,3,16,0.52,33,1,0
18057,19134246,Manhattan,Kips Bay,40.74506,-73.97934,Entire home/apt,3,10,0.37,8,2,0
8277,17450152,Manhattan,Hell's Kitchen,40.76525,-73.98895,Private room,1,159,3.17,249,2,1
31664,33510832,Brooklyn,Bedford-Stuyvesant,40.69403,-73.94487,Private room,2,80,5.93,45,1,1
31756,5832321,Queens,Glendale,40.69709,-73.89556,Entire home/apt,2,4,0.41,0,3,0
5341,19866189,Queens,Arverne,40.58835,-73.79565,Private room,1,91,1.53,358,3,1
5113,2120259,Brooklyn,Crown Heights,40.66709,-73.9514,Private room,4,27,0.46,261,1,1
20009,39261381,Brooklyn,Flatlands,40.62531,-73.93414,Shared room,1,20,1.28,160,1,2
4333,6789600,Brooklyn,Carroll Gardens,40.67786,-73.99871,Entire home/apt,6,2,0.04,0,1,0
7324,27530449,Brooklyn,Greenpoint,40.72071,-73.94902,Private room,4,199,3.75,246,1,1
4135,5352610,Brooklyn,Williamsburg,40.70585,-73.92698,Private room,5,6,0.1,0,1,1
37192,67987135,Brooklyn,Bedford-Stuyvesant,40.69274,-73.93481,Entire home/apt,1,12,1.67,134,1,0
12293,49255756,Brooklyn,Williamsburg,40.71848,-73.95817,Private room,7,11,0.25,0,1,1
6268,23748343,Manhattan,Upper West Side,40.77334,-73.99031,Shared room,1,0,,0,2,2
29560,13203970,Brooklyn,Bedford-Stuyvesant,40.67974,-73.91705,Entire home/apt,2,44,2.92,174,1,0
8455,2938550,Manhattan,Midtown,40.76571,-73.98023,Entire home/apt,1,0,,0,2,0
8809,12432739,Brooklyn,Greenpoint,40.73511,-73.95551,Private room,7,1,0.03,0,1,1
24580,3118776,Queens,Long Island City,40.76363,-73.93033,Private room,5,52,2.17,8,3,1
16291,58735878,Manhattan,Harlem,40.82889,-73.94599,Private room,1,1,0.03,0,2,1
46091,245013643,Manhattan,Hell's Kitchen,40.76506,-73.98507,Entire home/apt,30,0,,336,2,0
9649,1023985,Brooklyn,Williamsburg,40.71376,-73.95293,Private room,3,2,0.04,0,1,1
25165,126531152,Brooklyn,Williamsburg,40.713,-73.94381,Entire home/apt,1,4,0.17,0,1,0
16400,72101538,Brooklyn,Gravesend,40.59162,-73.9702,Entire home/apt,2,0,,0,1,0
30777,178636681,Brooklyn,Williamsburg,40.71097,-73.95895,Entire home/apt,3,11,1.05,90,1,0
788,1464358,Brooklyn,Bedford-Stuyvesant,40.68106,-73.9292,Private room,3,29,1.57,118,1,1
